customer_id,name,gender,join_date,city,loyalty_tier,age
C00058,Patricia Garcia,Female,2020-06-02,Houston,Bronze,24
C00059,Ashley Garcia,Female,2023-02-08,Houston,Gold,57
C00060,Barbara Martin,Female,2019-03-31,Houston,Gold,49
C00061,Sarah Anderson,Female,2022-10-01,New York,Bronze,18
C00062,Karen Anderson,Female,2023-11-27,Phoenix,Gold,51
C00063,Karen Martin,Female,2019-10-23,Phoenix,Silver,40
C00064,George Johnson,Male,2023-10-01,Houston,Gold,18
C00065,David Williams,Male,2022-12-29,Los Angeles,Gold,49
C00066,Joseph Thompson,Male,2021-05-14,Chicago,Bronze,59
C00067,Donald White,Male,2020-12-31,Houston,Bronze,46
C00068,Emily Smith,Female,2022-10-20,New York,Bronze,24
C00069,Robert Lopez,Male,2023-09-27,Houston,Silver,57
C00070,Ashley Anderson,Female,2023-10-14,Chicago,Bronze,41
C00071,Deborah Lopez,Female,2022-11-12,New York,Bronze,48
C00072,Karen Smith,Female,2019-12-21,Chicago,Bronze,39
C00073,Betty Brown,Female,2021-06-26,Chicago,Silver,20
C00074,George Miller,Male,2022-06-25,Los Angeles,Bronze,30
C00075,Jessica Anderson,Female,2022-05-05,New York,Bronze,24
C00076,Donald Moore,Male,2020-01-18,Houston,Gold,60
C00077,Mary Jackson,Female,2020-02-23,Phoenix,Platinum,65
C00078,Emily Jackson,Female,2022-09-06,New York,Gold,29
C00079,George Lopez,Male,2020-02-03,Phoenix,Bronze,38
C00080,Karen Martinez,Female,2022-07-24,Phoenix,Platinum,43
C00081,Thomas Hernandez,Other,2022-11-07,Chicago,Gold,56
C00082,Andrew Miller,Male,2023-08-29,Phoenix,Gold,30
C00083,Barbara Garcia,Female,2021-06-21,Los Angeles,Silver,50
C00084,Betty Thompson,Female,2021-09-28,Phoenix,Gold,48
C00085,Amanda Wilson,Female,2022-07-21,Phoenix,Silver,45
C00086,Patricia Johnson,Female,2019-03-20,New York,Bronze,30
C00087,Sarah Jones,Female,2020-05-15,Chicago,Platinum,21
C00088,Donald Brown,Male,2023-08-09,Chicago,Bronze,57
C00089,Dorothy Wilson,Female,2023-10-10,Phoenix,Bronze,62
C00090,Nancy Thompson,Female,2022-04-19,New York,Silver,21
C00091,Ashley Davis,Female,2020-09-22,New York,Silver,58
C00092,Jessica Miller,Female,2023-08-26,Chicago,Gold,36
C00093,David Jackson,Male,2019-08-20,Houston,Bronze,25
C00094,William Garcia,Male,2021-05-17,Houston,Silver,55
C00095,William Johnson,Male,2022-12-19,Chicago,Gold,27
C00096,Melissa Thompson,Female,2021-07-24,Chicago,Silver,40
C00097,Susan Jackson,Female,2021-09-14,New York,Silver,22
C00098,Robert Taylor,Male,2023-08-15,Phoenix,Silver,32
C00099,Jessica Lopez,Female,2021-10-25,Los Angeles,Bronze,51
C00100,Jennifer Moore,Other,2019-01-28,Houston,Bronze,33
C00101,Nancy Thomas,Female,2021-01-27,Phoenix,Platinum,25
C00102,Paul Taylor,Male,2021-05-28,Houston,Bronze,50
C00103,Richard Anderson,Male,2019-05-17,Phoenix,Bronze,50
C00104,Amanda Thompson,Female,2020-06-04,New York,Platinum,18
C00105,Mark Brown,Male,2020-10-24,New York,Gold,31
C00106,Jennifer Jones,Female,2022-09-14,Phoenix,Silver,19
C00107,Patricia Garcia,Female,2019-04-28,Houston,Bronze,34
C00108,Mark Thomas,Male,2020-12-08,Phoenix,Platinum,46
C00109,Michael Thompson,Male,2019-02-22,Houston,Bronze,18
C00110,Robert Taylor,Male,2023-12-25,Phoenix,Bronze,50
C00111,Charles Moore,Male,2021-07-25,New York,Silver,42
C00112,Amanda Davis,Female,2019-04-06,Houston,Silver,26
C00113,Barbara Wilson,Female,2023-08-23,Houston,Bronze,61
C00114,Amanda Jones,Female,2019-02-04,Chicago,Silver,25
C00115,Robert Wilson,Male,2022-05-09,New York,Silver,31
C00116,David Davis,Male,2023-05-12,Chicago,Bronze,57
C00117,Kenneth Johnson,Male,2020-07-17,Chicago,Silver,53
C00118,Jennifer Martinez,Female,2019-08-16,Houston,Bronze,24
C00119,Betty Jones,Female,2023-02-22,Los Angeles,Platinum,60
C00120,Daniel Martin,Male,2019-08-05,Los Angeles,Platinum,46
C00121,Barbara White,Female,2021-08-07,Chicago,Silver,54
C00122,Nancy Davis,Female,2022-08-23,Chicago,Bronze,32
C00123,Daniel Martin,Male,2022-01-21,Houston,Bronze,47
C00124,Michael Garcia,Male,2021-08-07,Houston,Silver,59
C00125,William Thompson,Male,2021-05-21,Phoenix,Gold,30
C00126,Mary Jackson,Female,2019-08-26,Chicago,Gold,58
C00127,Melissa Miller,Female,2023-12-04,New York,Silver,20
C00128,William Taylor,Male,2023-08-04,Phoenix,Silver,43
C00129,Dorothy Jackson,Female,2021-06-23,Los Angeles,Bronze,23
C00130,George Garcia,Male,2019-02-02,Houston,Silver,50
C00131,Kenneth Jones,Male,2020-07-10,Los Angeles,Silver,65
C00132,Emily Davis,Female,2019-05-06,Houston,Bronze,22
C00133,Paul Taylor,Male,2019-05-14,Chicago,Silver,42
C00134,Nancy Brown,Female,2019-05-25,Houston,Bronze,63
C00135,Sarah White,Female,2021-04-29,Phoenix,Gold,52
C00136,Robert Jackson,Male,2022-03-22,Phoenix,Bronze,34
C00137,Jennifer Taylor,Other,2020-11-23,Houston,Silver,49
C00138,Barbara Moore,Female,2019-01-21,Houston,Silver,28
C00139,David Garcia,Male,2021-05-22,Los Angeles,Bronze,41
C00140,Sandra Anderson,Female,2020-01-03,Phoenix,Silver,64
C00141,Kenneth Garcia,Male,2023-01-27,New York,Silver,59
C00142,Kenneth Garcia,Male,2019-05-15,Houston,Bronze,26
C00143,David Martinez,Male,2023-11-13,Phoenix,Bronze,29
C00144,Lisa Williams,Female,2023-10-18,Phoenix,Silver,31
C00145,Susan Davis,Female,2023-01-04,Houston,Gold,44
C00146,David Lopez,Male,2023-12-16,Phoenix,Gold,60
C00147,George White,Male,2021-11-30,Phoenix,Platinum,22
C00148,Richard Jackson,Male,2020-02-15,Los Angeles,Bronze,50
C00149,Deborah Lopez,Female,2019-10-27,Houston,Bronze,20
C00150,William Lopez,Male,2020-01-01,Phoenix,Bronze,52
C00151,Betty Johnson,Female,2022-09-02,New York,Silver,62
C00152,Anthony Taylor,Male,2023-02-06,Phoenix,Gold,55
C00153,Joseph Williams,Male,2020-02-20,Phoenix,Bronze,36
C00154,Mary Smith,Female,2022-06-23,Phoenix,Bronze,54
C00155,Richard Anderson,Male,2019-01-23,Phoenix,Bronze,44
C00156,Thomas Martinez,Male,2022-08-16,Chicago,Silver,52
C00157,Margaret Miller,Female,2021-05-06,Houston,Platinum,44
C00158,Amanda Thompson,Female,2023-02-07,Phoenix,Bronze,48
C00159,Susan Jones,Other,2023-11-30,Chicago,Bronze,60
C00160,Susan Brown,Female,2022-10-19,New York,Gold,31
C00161,George Johnson,Male,2021-11-17,Phoenix,Gold,28
C00162,Barbara Martin,Female,2019-01-17,Houston,Gold,56
C00163,Robert Lopez,Male,2021-03-28,Houston,Bronze,20
C00164,Dorothy Wilson,Female,2022-05-29,Houston,Silver,63
C00165,Donald Smith,Male,2020-06-28,Phoenix,Silver,30
C00166,Paul Jackson,Male,2019-04-15,Phoenix,Gold,62
C00167,Mary Garcia,Female,2019-04-23,Los Angeles,Bronze,23
C00168,Margaret White,Female,2022-01-02,Chicago,Silver,30
C00169,Andrew Wilson,Male,2019-08-02,Phoenix,Platinum,64
C00170,Sarah Davis,Female,2021-12-17,Phoenix,Bronze,56
C00171,Thomas Garcia,Male,2022-06-09,Los Angeles,Silver,44
C00172,Daniel Brown,Male,2019-08-13,Phoenix,Silver,50
C00173,Ashley Thomas,Female,2023-11-22,Chicago,Bronze,54
C00174,Ashley Moore,Female,2021-11-21,Houston,Platinum,55
C00175,Joseph Davis,Male,2021-03-12,New York,Bronze,38
C00176,Sarah Davis,Female,2023-05-24,Houston,Silver,36
C00177,David Martin,Male,2021-11-28,New York,Bronze,38
C00178,Richard Martin,Male,2023-11-18,Chicago,Bronze,65
C00179,Richard Davis,Male,2021-01-22,Los Angeles,Gold,30
C00180,Linda Brown,Female,2022-01-11,Los Angeles,Bronze,23
C00181,Emily Taylor,Female,2023-08-10,Houston,Platinum,57
C00182,Steven Garcia,Male,2023-11-20,Chicago,Gold,50
C00183,Paul Hernandez,Male,2023-11-27,Chicago,Bronze,48
C00184,David Moore,Male,2021-12-14,Phoenix,Bronze,25
C00185,Richard Thomas,Male,2019-01-27,Phoenix,Bronze,55
C00186,Thomas Davis,Male,2021-03-17,New York,Bronze,35
C00187,Emily Hernandez,Female,2021-12-01,Houston,Bronze,31
C00188,Margaret Martinez,Female,2022-03-02,Houston,Bronze,46
C00189,Linda Martinez,Female,2023-11-25,Los Angeles,Silver,33
C00190,William Martin,Male,2022-03-29,Phoenix,Bronze,18
C00191,Paul Thompson,Male,2020-02-22,Los Angeles,Platinum,64
C00192,Melissa Johnson,Female,2021-07-21,Chicago,Bronze,43
C00193,Sarah Martin,Female,2019-07-06,New York,Bronze,58
C00194,Matthew Thompson,Male,2021-11-05,New York,Bronze,53
C00195,George Miller,Male,2022-07-03,Chicago,Bronze,54
C00196,Lisa Taylor,Female,2023-07-31,Phoenix,Bronze,38
C00197,Anthony Lopez,Male,2022-10-20,Phoenix,Gold,36
C00198,Nancy Hernandez,Female,2020-03-26,Houston,Gold,58
C00199,Nancy Davis,Female,2019-08-10,Phoenix,Bronze,38
C00200,Margaret Martinez,Female,2021-04-11,Chicago,Silver,46
C00201,Sandra Garcia,Female,2023-06-07,Chicago,Platinum,29
C00202,Robert Miller,Male,2020-12-29,New York,Silver,28
C00203,Steven Thompson,Male,2019-07-18,Houston,Platinum,21
C00204,Jennifer Brown,Female,2023-06-16,New York,Gold,34
C00205,Joseph Wilson,Male,2022-04-26,Phoenix,Bronze,46
C00206,Matthew Anderson,Male,2020-06-14,Los Angeles,Bronze,48
C00207,Emily Moore,Other,2023-08-07,Houston,Platinum,26
C00208,Kenneth Hernandez,Male,2022-11-19,Phoenix,Silver,51
C00209,Joseph Williams,Male,2021-12-14,Phoenix,Silver,46
C00210,James Smith,Male,2021-03-18,Chicago,Bronze,51
C00211,Steven Martin,Male,2022-12-28,Los Angeles,Silver,37
C00212,Mary Thompson,Female,2021-06-29,New York,Silver,41
C00213,Joseph Garcia,Male,2023-10-08,Los Angeles,Silver,63
C00214,Sandra Davis,Female,2020-11-16,Houston,Bronze,51
C00215,Amanda Martinez,Female,2021-04-24,Phoenix,Bronze,44
C00216,Linda Moore,Female,2020-07-20,Los Angeles,Bronze,57
C00217,James Jones,Male,2023-03-09,Houston,Bronze,21
C00218,William Moore,Male,2019-11-14,Phoenix,Bronze,64
C00219,Richard Anderson,Male,2020-04-13,New York,Bronze,44
C00220,Ashley Johnson,Female,2023-03-29,Chicago,Platinum,39
C00221,Margaret Williams,Female,2020-03-29,New York,Bronze,52
C00222,James Brown,Male,2021-02-15,Houston,Gold,63
C00223,John Miller,Male,2022-10-08,Los Angeles,Bronze,47
C00224,Lisa Anderson,Female,2020-10-09,New York,Silver,28
C00225,Sarah Martin,Female,2023-09-04,New York,Silver,58
C00226,Richard Brown,Male,2019-06-11,Chicago,Gold,33
C00227,Kenneth Brown,Male,2020-06-03,Houston,Gold,43
C00228,Steven Lopez,Male,2019-05-11,Los Angeles,Silver,27
C00229,Jennifer Lopez,Female,2021-02-11,Chicago,Bronze,39
C00230,Michael Jones,Male,2020-04-23,New York,Gold,49
C00231,Matthew Moore,Male,2023-10-01,Los Angeles,Gold,64
C00232,William Martinez,Male,2022-03-19,Los Angeles,Bronze,20
C00233,Emily Miller,Female,2023-10-03,Houston,Bronze,54
C00234,Sarah Lopez,Female,2021-10-02,Los Angeles,Gold,53
C00235,Thomas Thompson,Male,2020-04-26,Los Angeles,Silver,41
C00236,David Smith,Male,2023-04-21,Houston,Bronze,57
C00237,Jennifer Thompson,Female,2021-01-11,Chicago,Bronze,42
C00238,Barbara Lopez,Female,2023-03-26,Los Angeles,Gold,36
C00239,Paul Williams,Male,2021-09-27,Chicago,Bronze,20
C00240,Steven Miller,Male,2019-04-08,Los Angeles,Bronze,24
C00241,Dorothy Lopez,Female,2022-04-22,New York,Silver,62
C00242,Robert Smith,Male,2022-02-12,Phoenix,Bronze,31
C00243,Patricia Taylor,Female,2019-09-06,Houston,Silver,53
C00244,Sarah Jackson,Female,2019-07-01,Houston,Gold,20
C00245,Dorothy Brown,Female,2019-08-31,New York,Platinum,24
C00246,Karen White,Female,2020-08-11,Los Angeles,Bronze,58
C00247,Linda White,Female,2023-10-01,Los Angeles,Silver,40
C00248,Susan Garcia,Female,2022-08-19,Houston,Gold,53
C00249,George Moore,Male,2020-05-06,Houston,Silver,40
C00250,Sandra Hernandez,Female,2021-10-05,Chicago,Gold,64
C00251,Margaret Thompson,Female,2023-10-16,Chicago,Silver,65
C00252,Anthony Smith,Male,2022-11-06,Chicago,Silver,64
C00253,George Smith,Other,2019-02-20,New York,Silver,37
C00254,Thomas Thompson,Male,2021-09-05,Los Angeles,Bronze,50
C00255,Patricia Moore,Female,2023-11-11,Phoenix,Bronze,40
C00256,Joseph Davis,Male,2022-02-14,Los Angeles,Gold,34
C00257,Richard Williams,Male,2022-05-27,Chicago,Silver,64
C00258,Melissa Brown,Female,2020-06-21,Chicago,Silver,56
C00259,John Anderson,Male,2023-11-26,Chicago,Bronze,40
C00260,Joseph Lopez,Male,2020-01-10,Houston,Gold,18
C00261,Andrew White,Male,2023-06-18,Houston,Bronze,27
C00262,Anthony Moore,Male,2020-11-16,Chicago,Bronze,56
C00263,Anthony Jones,Male,2020-11-20,Phoenix,Silver,26
C00264,Andrew Thomas,Male,2023-11-11,Chicago,Gold,34
C00265,William Jones,Male,2022-09-11,New York,Gold,48
C00266,Richard Thompson,Male,2022-05-13,Phoenix,Silver,57
C00267,Mark Anderson,Male,2019-08-11,Phoenix,Bronze,61
C00268,Matthew Miller,Male,2022-07-08,Phoenix,Silver,38
C00269,Susan Taylor,Female,2019-03-17,Chicago,Gold,57
C00270,Karen Miller,Female,2022-09-30,Houston,Bronze,61
C00271,John Davis,Male,2019-09-24,Chicago,Bronze,57
C00272,Linda Wilson,Female,2021-06-12,Los Angeles,Bronze,46
C00273,Richard Miller,Male,2020-10-11,Houston,Gold,52
C00274,Barbara Smith,Female,2023-09-02,Phoenix,Silver,42
C00275,Susan Johnson,Female,2023-06-25,Phoenix,Bronze,36
C00276,Mary Williams,Female,2021-04-22,Los Angeles,Bronze,42
C00277,Mary Wilson,Female,2022-01-24,Chicago,Gold,59
C00278,Michael Anderson,Male,2022-03-28,Houston,Silver,49
C00279,Ashley Thompson,Female,2020-08-02,Phoenix,Bronze,63
C00280,Steven Thomas,Male,2023-07-03,New York,Bronze,65
C00281,Charles Davis,Male,2021-12-29,Los Angeles,Bronze,50
C00282,Mary Thompson,Female,2021-03-11,Chicago,Gold,35
C00283,Robert Thomas,Male,2022-05-05,Los Angeles,Silver,51
C00284,Melissa Jones,Female,2020-12-07,Phoenix,Silver,45
C00285,Barbara Miller,Female,2021-10-20,Chicago,Silver,59
C00286,Lisa Jackson,Female,2020-09-20,Los Angeles,Gold,26
C00287,Dorothy Garcia,Other,2020-03-26,Houston,Silver,38
C00288,Barbara Smith,Female,2020-01-03,New York,Bronze,38
C00289,Sarah Jones,Female,2021-07-31,Houston,Silver,30
C00290,George Lopez,Male,2019-03-23,New York,Gold,35
C00291,Karen Smith,Female,2020-12-18,Phoenix,Silver,40
C00292,Deborah Martin,Female,2023-01-20,New York,Bronze,63
C00293,William Garcia,Male,2022-04-18,Chicago,Silver,30
C00294,Mark Davis,Male,2019-02-16,Los Angeles,Platinum,65
C00295,Ashley Lopez,Female,2019-07-25,Los Angeles,Bronze,49
C00296,Patricia Lopez,Female,2021-02-05,Chicago,Silver,65
C00297,Melissa Lopez,Female,2022-05-09,Houston,Silver,52
C00298,Ashley Moore,Female,2019-04-30,Phoenix,Silver,20
C00299,John Thompson,Male,2022-05-14,Los Angeles,Platinum,42
C00300,Ashley Thomas,Female,2019-06-03,Phoenix,Bronze,37
C00301,John Jackson,Male,2022-08-05,Chicago,Bronze,27
C00302,Dorothy Brown,Female,2022-11-04,Houston,Bronze,29
C00303,Sandra Anderson,Female,2023-08-25,Phoenix,Bronze,46
C00304,Robert Martinez,Male,2020-09-19,New York,Gold,38
C00305,Ashley Taylor,Female,2020-01-19,Los Angeles,Bronze,23
C00306,Susan Thomas,Female,2023-05-09,Phoenix,Silver,53
C00307,Kenneth Jones,Male,2020-06-14,Houston,Platinum,28
C00308,Charles Moore,Male,2019-06-09,Los Angeles,Silver,36
C00309,James Lopez,Male,2020-02-13,Los Angeles,Platinum,34
C00310,James Lopez,Male,2023-03-30,New York,Silver,49
C00311,Donald Williams,Male,2023-01-17,Los Angeles,Silver,56
C00312,Andrew Miller,Male,2023-08-28,Phoenix,Bronze,21
C00313,John White,Male,2021-12-20,Los Angeles,Bronze,56
C00314,Mark Garcia,Male,2019-09-30,Chicago,Bronze,28
C00315,Susan Moore,Female,2023-11-14,Chicago,Gold,65
C00316,Charles Anderson,Male,2019-04-22,Phoenix,Bronze,41
C00317,Jennifer Wilson,Female,2022-08-20,Houston,Gold,48
C00318,Mark Jackson,Male,2021-05-02,Los Angeles,Bronze,31
C00319,Dorothy Williams,Female,2019-12-06,Los Angeles,Silver,48
C00320,Nancy Martinez,Female,2021-06-11,Phoenix,Silver,51
C00321,Deborah White,Other,2022-01-04,Phoenix,Platinum,49
C00322,Susan Lopez,Female,2023-03-27,Phoenix,Silver,32
C00323,Lisa Brown,Other,2019-01-05,Chicago,Bronze,65
C00324,Nancy Taylor,Female,2022-07-12,Los Angeles,Silver,53
C00325,Thomas Williams,Male,2020-09-17,Los Angeles,Silver,37
C00326,Michael Anderson,Male,2021-10-03,Chicago,Gold,39
C00327,Jessica Anderson,Female,2019-04-01,Houston,Gold,39
C00328,Emily Jones,Female,2019-04-21,Houston,Silver,58
C00329,Ashley Hernandez,Female,2023-07-27,Houston,Gold,65
C00330,Nancy Thompson,Female,2021-07-19,New York,Silver,52
C00331,Matthew Williams,Male,2021-10-27,New York,Gold,27
C00332,Amanda Garcia,Female,2021-11-19,Chicago,Platinum,54
C00333,Charles Anderson,Male,2019-12-30,Phoenix,Gold,63
C00334,Joseph Taylor,Male,2019-09-27,New York,Silver,46
C00335,Matthew Johnson,Male,2021-07-28,Chicago,Bronze,30
C00336,Paul Jones,Male,2019-03-19,New York,Gold,30
C00337,Nancy Jones,Female,2023-06-15,Chicago,Bronze,24
C00338,Patricia Moore,Female,2020-02-17,Phoenix,Bronze,42
C00339,George Williams,Male,2021-08-24,Phoenix,Platinum,39
C00340,Lisa Smith,Female,2019-11-17,Houston,Silver,54
C00341,Jessica Wilson,Female,2020-10-13,Chicago,Bronze,35
C00342,Thomas Jones,Male,2022-10-02,Phoenix,Silver,28
C00343,Richard Thompson,Male,2023-10-05,Chicago,Silver,40
C00344,Charles White,Male,2020-03-15,Phoenix,Platinum,33
C00345,John Jones,Male,2021-11-18,Los Angeles,Silver,19
C00346,Patricia Williams,Female,2019-06-06,Houston,Bronze,45
C00347,Charles Anderson,Male,2022-10-17,Houston,Silver,30
C00348,Robert Moore,Male,2022-12-17,Phoenix,Silver,24
C00349,Joseph Jones,Male,2022-12-16,Houston,Silver,57
C00350,Nancy Anderson,Female,2022-05-03,Chicago,Bronze,47
C00351,Steven Moore,Male,2023-01-16,Houston,Bronze,28
C00352,Linda Thomas,Female,2023-11-21,Chicago,Bronze,63
C00353,Andrew Moore,Male,2019-08-09,New York,Gold,43
C00354,Steven Thomas,Male,2021-01-27,Phoenix,Silver,22
C00355,Mark White,Male,2022-09-01,Chicago,Gold,39
C00356,Jennifer White,Female,2020-06-21,Phoenix,Silver,49
C00357,Linda Moore,Female,2022-12-09,New York,Bronze,29
C00358,Deborah Thomas,Female,2019-08-05,Chicago,Silver,38
C00359,Barbara White,Female,2019-07-11,Houston,Bronze,58
C00360,Lisa Thomas,Female,2020-04-08,New York,Silver,57
C00361,Daniel Wilson,Male,2020-09-30,Phoenix,Silver,54
C00362,Betty Williams,Female,2022-09-12,Chicago,Gold,55
C00363,Barbara Wilson,Female,2023-05-05,New York,Silver,21
C00364,Amanda Taylor,Female,2019-06-15,Chicago,Bronze,25
C00365,Melissa Thomas,Female,2020-12-31,Chicago,Silver,58
C00366,Amanda Miller,Female,2022-06-15,Chicago,Bronze,60
C00367,Matthew Hernandez,Male,2020-08-07,Los Angeles,Silver,27
C00368,William Smith,Other,2020-01-26,Chicago,Bronze,27
C00369,Sandra Moore,Female,2020-02-26,Houston,Bronze,62
C00370,Sandra Thompson,Female,2020-07-12,Phoenix,Silver,46
C00371,James White,Male,2020-07-31,Houston,Silver,49
C00372,Amanda White,Female,2021-04-16,Los Angeles,Silver,41
C00373,Linda Brown,Other,2023-11-01,New York,Silver,55
C00374,Dorothy Martinez,Female,2019-09-06,Houston,Bronze,47
C00375,Robert Thompson,Male,2019-10-02,Phoenix,Bronze,55
C00376,Mary Martin,Female,2021-12-03,Chicago,Silver,47
C00377,Sandra Taylor,Female,2023-11-19,Phoenix,Gold,36
C00378,Kenneth Martinez,Male,2021-08-02,Chicago,Gold,21
C00379,Lisa Lopez,Female,2023-11-15,Houston,Bronze,19
C00380,Thomas Martinez,Male,2020-01-30,Chicago,Silver,26
C00381,Michael Lopez,Male,2021-03-09,Phoenix,Bronze,29
C00382,Susan Martinez,Female,2022-10-19,Phoenix,Bronze,62
C00383,Daniel Williams,Male,2023-06-27,Los Angeles,Gold,27
C00384,Sandra Thomas,Female,2020-04-23,Phoenix,Gold,33
C00385,Betty Johnson,Female,2020-06-03,Houston,Bronze,59
C00386,Ashley Thomas,Female,2019-12-27,Chicago,Bronze,48
C00387,Anthony Martin,Male,2023-07-13,Chicago,Bronze,34
C00388,Ashley Thomas,Female,2022-09-12,Los Angeles,Bronze,61
C00389,Amanda Taylor,Female,2019-05-08,Chicago,Bronze,45
C00390,Sarah Brown,Female,2021-04-26,Phoenix,Bronze,34
C00391,Kenneth Miller,Male,2021-01-21,Phoenix,Gold,51
C00392,Mary Smith,Female,2020-07-12,Chicago,Bronze,22
C00393,Donald Taylor,Male,2023-06-20,New York,Bronze,32
C00394,Robert Johnson,Male,2019-04-16,Chicago,Bronze,56
C00395,Linda Williams,Female,2020-01-14,Los Angeles,Gold,56
C00396,David Brown,Male,2023-10-25,Los Angeles,Gold,62
C00397,Robert Moore,Male,2022-12-21,Los Angeles,Silver,35
C00398,Jennifer Martinez,Female,2021-10-01,Houston,Bronze,21
C00399,Thomas Garcia,Male,2019-07-06,Houston,Bronze,46
C00400,David Martin,Male,2020-09-15,New York,Silver,24
C00401,Linda Moore,Female,2022-09-01,Los Angeles,Bronze,63
C00402,Thomas Moore,Male,2019-08-15,Chicago,Bronze,19
C00403,Anthony Martinez,Male,2019-01-03,Houston,Platinum,27
C00404,Emily Martin,Female,2023-11-21,Chicago,Bronze,45
C00405,Mary Thomas,Female,2019-08-06,Houston,Silver,62
C00406,Matthew Anderson,Male,2023-07-22,Houston,Platinum,61
C00407,Daniel Williams,Male,2019-10-09,Chicago,Bronze,47
C00408,Margaret Miller,Female,2020-07-02,Chicago,Silver,37
C00409,Ashley Miller,Female,2022-01-21,Houston,Silver,26
C00410,Robert Thompson,Male,2021-01-10,New York,Silver,59
C00411,James Johnson,Male,2022-10-27,Chicago,Platinum,39
C00412,Richard Jackson,Male,2019-05-14,New York,Silver,47
C00413,Robert Johnson,Male,2023-12-05,Phoenix,Bronze,65
C00414,George Johnson,Male,2019-03-01,Los Angeles,Silver,33
C00415,Michael Moore,Male,2019-06-05,Los Angeles,Platinum,57
C00416,Linda Brown,Female,2019-07-18,Los Angeles,Gold,49
C00417,Jessica Hernandez,Female,2020-11-16,Phoenix,Bronze,39
